superconductors,measured_Tc,materials_family
Ce1Ir1In4.946Hg0.054,0.476,heavy-Fermion
Os10,0.478,others
U1Pt2.997Pd0.003,0.4785,heavy-Fermion
Be13U0.9807Th0.0193,0.48,heavy-Fermion
Hg3Mg1,0.48,others
Ge1Rh1,0.48,others
Ba1Ti2As0.2Sb1.8O1,0.48,others
La0.9Pr0.1Se1,0.48,others
La1Pt2Ge2,0.48,heavy-Fermion
La3Ni4Si4,0.48,heavy-Fermion
Pt3Th7,0.49,heavy-Fermion
Rh0.67Te0.33,0.49,others
Lu1Rh5,0.49,heavy-Fermion
Th0.9985U0.15,0.495,others
Nb1Te2,0.5,others
Sr0.925Ba0.075Ti1O3,0.5,others
Cr0.15Mo0.85,0.5,others
Cr0.8Rh0.2,0.5,others
Ta1Ir1Si1,0.5,others
Pd50.49V0.51Sb49,0.5,others
Ir0.82Mo0.18,0.5,others
K0.27O3W1,0.5,others
Sr0.925Ca0.075Ti1O3,0.5,others
Au1In1,0.5,others
Ru1,0.501,others
Ce1Pt3Si0.94Ge0.06,0.50525,heavy-Fermion
U1.02Ni2Al3,0.51,heavy-Fermion
Au1Ta4.3,0.51,others
Pb0.9922Tl0.0078Te1,0.51,others
Fe0.011Mo99.989,0.51,others
U0.9815Th0.0185Be13,0.519,heavy-Fermion
U0.9822Th0.0178Be13,0.519,heavy-Fermion
Ce1Cu2Si1.98Ge0.02,0.52,heavy-Fermion
U1Pd2Al2.7Ga0.3,0.52,heavy-Fermion
Pt3U1,0.523364,heavy-Fermion
Cd1,0.52414,others
Sr0.95Ba0.05Ti1O3,0.525,others
U0.983Th0.017Be13,0.525,heavy-Fermion
Sr0.7Ca0.3Ti1O3,0.525,others
Au0.845Sn0.155,0.53,others
Pr0.251Th0.749,0.53,others
Pd7Se2,0.53,others
Cd0.97Hg0.03,0.53,others
Ni14.3U85.7,0.53,heavy-Fermion
Bi0.6Cd0.4,0.53,others
U0.957Th0.043Be13,0.5315,heavy-Fermion
Y2Ni1Ge3,0.533,others
U0.978Th0.022Be13,0.539,heavy-Fermion
O1.06Ti1,0.54,others
La0.28Pt0.72,0.54,others
Ir0.15Os0.85,0.54,others
Ni1U6,0.54,heavy-Fermion
U1Co1Ge0.96Si0.04,0.541,heavy-Fermion
Cu50Zr50,0.543333,others
Ce1Pt2.94Ni0.06Si1,0.545,heavy-Fermion
U0.962Th0.038Be13,0.546,heavy-Fermion
Ir0.64Re0.16Rh0.2,0.55,others
Ge2U1,0.55,heavy-Fermion
Ir0.6Os0.1Rh0.3,0.55,others
Ce1Ru3B2,0.55,heavy-Fermion
La0.901Pr0.099Tl3,0.55,heavy-Fermion
Be13U0.9645Th0.0355,0.55,heavy-Fermion
Si3Sr2,0.55,others
Al1Au4,0.55,others
C1K1,0.55,others
Ir0.18Os0.47Rh0.35,0.55,others
Na0.2O3W1,0.55,others
Th0.9988U0.0012,0.55,others
Ce1Co1In4.86Sn0.14,0.556,heavy-Fermion
U0.9622Th0.0378Be13,0.557,heavy-Fermion
Be0.858Cu0.142,0.56,others
Co1Hf2,0.56,others
Na0.28O3W1,0.56,others
Lu1Se1,0.56,others
Rh5Y1,0.56,others
Os0.666Ru0.334,0.569,others
Be0.95Os0.05,0.57,others
Ce0.99La0.01Pt3Si1,0.57,heavy-Fermion
Lu1Sn1Ge1,0.57,heavy-Fermion
Cu1Rh1.6Sn0.4Se4,0.57,others
U0.9981Th0.019Be13,0.573,heavy-Fermion
Ga2La1,0.575,heavy-Fermion
Pt1Ti3,0.58,others
U0.974Th0.026Be13,0.58,heavy-Fermion
Ce0.025Th0.975,0.58,others
Al1Mo3,0.58,others
As1Rh1,0.58,others
U1,0.581667,others
Os0.9Ru0.1,0.584,others
Pt1Te1,0.59,others
Cr0.65Ir0.35,0.59,others
Co0.015Mo99.985,0.59,others
Au0.835Sn0.165,0.59,others
La1Ni1Sn1,0.59,heavy-Fermion
La1Ir2Zn20,0.59,heavy-Fermion
Be13U0.9755Th0.0245,0.59,heavy-Fermion
Al0.999Mn0.001,0.596,others
U1Co1Ge1,0.5995,heavy-Fermion
Pr0.5Nd0.5Os4Sb12,0.6,others
Pd1Se1Te1,0.6,others
Nb0.6Ru0.4,0.6,others
Mo0.4Nb0.6,0.6,others
Ir0.35Ta0.65,0.6,others
Ce1.025Cu2Si2,0.6,heavy-Fermion
Co28U72,0.6,heavy-Fermion
Rh1Sn2,0.6,others
Y1In2.25Pb0.75,0.6,others
Ba1Pd0.5Si1.5,0.6,others
Ca2In1N1,0.6,others
U0.4La0.6Pd2Al3,0.6,heavy-Fermion
Ir0.72Re0.18Rh0.1,0.6,others
Ru1Sb1,0.6,others
Sr2Ru0.999Ti0.001O4,0.6,others
U0.97Th0.03Be13,0.602667,heavy-Fermion
Pa1,0.61,others
Ir0.55Re0.15,0.61,others
Gd0.01La0.99,0.61,others
U1Pd2Al3.03,0.61,heavy-Fermion
Rh0.7Ru0.3Se2,0.62,others
Ce1Rh0.6Ir0.4In5,0.62,heavy-Fermion
Ce1Ir0.8Co0.2Si3,0.62,heavy-Fermion
Ce1Cu2.53Si2,0.62,heavy-Fermion
Ce1Cu1.95Si2.01,0.62,heavy-Fermion
U0.99Th0.01Be13,0.624,heavy-Fermion
Cd0.2Zn0.8,0.628,others
Ce1Rh0.25Ir0.75In5,0.63,heavy-Fermion
Ce1Pt3Si0.97Ge0.03,0.63,heavy-Fermion
La98Lu0.697Tb1.303,0.632,others
Ba1Ni2As1.972P0.028,0.634,others
Ce1Co0.5Ir0.5In5,0.64,heavy-Fermion
