,measured_Tc,materials_family
Ca1Rh1.2Sn4.5,8.7,others
Lu1Si3,6.78,heavy-Fermion
Tl0.58Rb0.42Fe1.72Se2,32.5,iron-based
Cs1.2Tl2.4C60,29.5,others
Pu1Co0.5Rh0.5Ga5,15.5,heavy-Fermion
Nb78.4Sn12.9Al2.2Ge6.5,13.3,others
Ca2.8Co0.2Rh4Sn13,7.73,others
Yb3Rh4Sn13,7.8333330000000005,heavy-Fermion
Ca24Al28O66,0.195,others
Lu2Ir3Si4.9Ge0.1,7.74,heavy-Fermion
Ga1Sr2Ca3Cu4O11.1,107.0,cuprate
Ca3Al2Fe2As2O5,30.2,iron-based
Ca4Al2Fe2P2O6,17.1,iron-based
La1Pt4Ge13,7.92,heavy-Fermion
La3Pd4Ge4,2.4933330000000002,heavy-Fermion
Ca3Rh8B2,4.0,others
Nd1Rh6B6,5.4,heavy-Fermion
Ca4Rh6Pb19,3.3,others
Sr3.1Ca5.9Bi0.4Y0.3Pb0.3Cu16.7O29,80.0,cuprate
Ca5.84Sr4.02Bi0.14Cu15.84O29,72.0,cuprate
Ca5.9Sr3.5Bi0.3Y0.1Pb0.1Al0.1Cu15.1O29,75.0,cuprate
Ca8.85La1.15Pt3Fe10As18,35.1,iron-based
Ca6.85Pr3.15Pt3Fe10As18,20.5,iron-based
Ca7.16Ce2.84Pt3Fe10As18,18.9,iron-based
Ca8.44La1.56Pt3Fe10As18,32.3,iron-based
Pr2Tl2Sr2Cu3O11,43.0,cuprate
Ca8.38Ce1.62Pt3Fe10As18,30.5,iron-based
Ca8Mg1.5Ti4.5Fe2As2O9.5,40.0,iron-based
Gd4Fe2As2Te0.92F0.8O3.2,45.0,iron-based
Tl1Sr2Ca0.4Tb0.6Cu2O7,62.0,cuprate
Dy1Ba1.5Sr0.5Cu3O6.9,86.3,cuprate
Ca9.5Yb0.5Pt3Fe10As18,11.6,iron-based
Tl0.47Rb0.34Fe1.63Se2,32.0,iron-based
Cd0.97Pd0.03,4.2,others
Pb0.9Yb0.1Mo6Se8,12.3,others
Cd1Sn1,3.65,others
Y0.5Cd0.5Ba2Cu3O7,93.2,cuprate
Cd2Re2O7,1.102857,others
Mo4Re2Te8,3.5,others
Ce0.01Y0.99,1.6,others
Tc0.44Th0.56,5.3,others
La1F0.5Bi1S2O0.5,9.25,others
La0.1Ce0.9Ru2,7.194,heavy-Fermion
La0.5Sm0.5Bi1S2F0.5O0.5,4.05,others
Ru1Sr2Gd1.4Ce0.6Cu2O10,45.0,cuprate
Ce1Co0.5Ru0.5In5,1.77,heavy-Fermion
Ce1Fe1As1H0.22O0.78,48.0,iron-based
Ce1Co1In4.9992Hg0.0008,2.254,heavy-Fermion
Ce1Ru2Sc1,6.2,heavy-Fermion
Ce1,0.85,others
Cu1.6Mo6S8,11.3,others
Ce1Bi3.4Pb0.6Te6,3.0,others
Ce1Bi3.5Pb0.5Te6,3.0,others
Cs0.96Bi4Te6,4.4,others
Ir1Mo3Nb3Pt1,6.13,others
Ce1Co2,1.1125,heavy-Fermion
Y0.4Cd0.6Ba2Cu3O7,91.7,cuprate
Ce1Co1In7.65Zn0.35,1.78,heavy-Fermion
Y1Ba2Cu2.5Fe0.5O7.413,80.0,cuprate
In3Sn1,5.5,others
Ir3Th1,4.71,heavy-Fermion
Ir5Th1,3.93,heavy-Fermion
Np1Pd5Al2,4.95,heavy-Fermion
Ce1Pt2In7,2.1,heavy-Fermion
La1Ru3Si2,7.316,heavy-Fermion
Ce2Rh1In8,0.8125,heavy-Fermion
La2Pt3Ge5,8.1,heavy-Fermion
Ce3Pt1In11,0.32,heavy-Fermion
Ir0.8Y0.2,3.66,others
Sc0.6V0.4,6.84,others
U6Fe0.5Co0.5,3.05,others
U6Mn0.5Fe0.5,2.86,others
Fe1U6,3.88875,heavy-Fermion
Mo0.16U0.84,2.121,others
Hf2Rh1,1.72,others
Lu3Si5,7.0,heavy-Fermion
Cu0.08Ti2Se2,3.95,others
Co3Y4,2.0333330000000003,others
Rh3Th7,2.15,heavy-Fermion
Co7Y9,2.85,others
Cr0.56Re0.44,5.1,others
Nb1Ru3,13.5,others
Sb1Ti3,5.611667,others
Cr2Re3B1,4.8,others
Cr2Ru1,2.02,others
Cr3Ru1,3.3,others
Rb2Cs1C60,31.15,others
Cs1,0.75,others
Cs2Rb1C60,33.0,others
Zr1Os1As1,8.0,others
In0.71V6S8,5.4,others
Rb2Cr3As3,4.8,others
Cs3Hg3.3C60,29.0,others
Nb3Ga0.5Zn0.5,16.4,others
Cu0.5P0.5Sr2Ca1.9Y0.1Cu3O9.3,84.0,cuprate
Cu0.5S0.5Sr2Ca2Cu3O12,100.0,cuprate
Pb1Mo6S4Se5,3.64,others
La1Fe0.4Zn0.6As1F0.15O0.85,24.6,others
Y1Ir2Rh2B4,8.92,others
Nb2Sn1Ta0.5V0.5,12.2,others
Cu0.7Nb0.3,9.39,others
Cu1.3K0.2Co1.5S4,4.4,others
Pb1Mo6S4Se4,3.2,others
Zr0.5Hf0.5V2,10.1,others
Cu3.5Sr2Ca2Cr0.5O9.55,103.0,cuprate
Cu2Sb1,0.085,others
Cu3Sb1,0.9205,others
Tm1.4Pr0.6Ba4Cu7O14.667,60.0,cuprate
La3Ca1Ba3Cu7O16.678,80.5,cuprate
Cu6Th1,0.2,heavy-Fermion
V0.5Sr2.6Ca5.4Cu7.5O17.3,73.0,cuprate
Tm1Ba2Cu3O6.65,92.5,cuprate
Dy1Ba2Cu3O6.75,94.0,cuprate
Dy1Ni0.74Bi1.78,4.2,heavy-Fermion
Dy1Ga6,2.95,heavy-Fermion
Lu5Ir3.1Rh0.9Si10,5.77,heavy-Fermion
Ho1Rh3Ru1B4,6.35,heavy-Fermion
Y2Ba4Cu7O14.97,93.1,cuprate
Dy2Ba4Cu7O14.61,29.0,cuprate
Y5Os4Si15,10.8,others
